gene_id	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000105321	CCDC9	871.028894805719	0.306292656594673	0.0544588706414741	5.62429321406843	1.86269031530123e-08	9.12718254497603e-05
ENSG00000151093	OXSM	690.636650079316	-0.324236878525898	0.056917350740967	-5.69662632404506	1.22201356458967e-08	9.12718254497603e-05
ENSG00000183864	TOB2	2541.560059107	0.347042817428101	0.0615649171892595	5.63702240289288	1.73015612035341e-08	9.12718254497603e-05
ENSG00000197019	SERTAD1	1506.67328262502	-0.372995391911645	0.0705255816190208	-5.28879568730912	1.2312432625581e-07	0.000361985519192082
ENSG00000256514	AP003419.1	426.070961504912	-0.907397548642127	0.171270142696031	-5.29804865202086	1.17046783444288e-07	0.000361985519192082
ENSG00000105825	TFPI2	3246.45286260537	-0.606671072512643	0.117210910239808	-5.17589251095673	2.26824024445374e-07	0.000555718859891165
ENSG00000261040	WFDC21P	6449.98670275616	-0.687462000117997	0.134332520054388	-5.11761411041541	3.09424860143803e-07	0.000649792206301986
ENSG00000121895	TMEM156	176.125731655057	-0.800905291714309	0.157798988542462	-5.07547798063861	3.86523118129909e-07	0.000710236229563708
ENSG00000138271	GPR87	3292.23717306047	-0.249216305266442	0.0505117161409522	-4.9338316791892	8.06319335467639e-07	0.00131698824793048
ENSG00000152219	ARL14EP	1631.44394809771	-0.212525032081221	0.0441227402745704	-4.81667799322309	1.45967959408777e-06	0.00214572900330902
ENSG00000046651	OFD1	2042.18632711683	0.189512418160783	0.0395485223949881	4.79189630065168	1.6521229466852e-06	0.00220783702875204
ENSG00000107984	DKK1	1139.69773114218	-1.0483550309667	0.221714303870062	-4.72840503597413	2.26290420901152e-06	0.00246766239756897
ENSG00000116898	MRPS15	2773.66630625109	-0.266862257712626	0.0564694196587162	-4.72578360687005	2.29229656334813e-06	0.00246766239756897
ENSG00000134146	DPH6	306.103491688518	-0.402459190958215	0.085748468894311	-4.69348544816894	2.68589104497303e-06	0.00246766239756897
ENSG00000142396	ERVK3-1	1070.32331339671	-0.294143155949265	0.0625808874744511	-4.70020748857788	2.59897286438298e-06	0.00246766239756897
ENSG00000163754	GYG1	2220.69709506321	-0.269847598296323	0.0573547496913455	-4.70488668765025	2.54006993253328e-06	0.00246766239756897
ENSG00000186575	NF2	1278.57629901276	0.298109508265931	0.0638243525774737	4.67077998016617	3.00058197466045e-06	0.00259462088397109
ENSG00000116273	PHF13	826.167794622378	0.415159481254399	0.090725501288962	4.57599545173204	4.73960841222861e-06	0.00331772588856003
ENSG00000129682	FGF13	156.957102524916	-0.819568719749814	0.178844997111192	-4.58256441604722	4.5930815260196e-06	0.00331772588856003
ENSG00000142252	GEMIN7	549.811685341094	-0.393175750058741	0.0856225402755435	-4.59196548938462	4.39090989265207e-06	0.00331772588856003
ENSG00000184557	SOCS3	1224.32584997305	-0.623338727379949	0.13567729080698	-4.59427457367746	4.34257281623212e-06	0.00331772588856003
ENSG00000105204	DYRK1B	2654.01756873261	0.181076726466435	0.0406586598913081	4.4535832452546	8.44489443421199e-06	0.00564272491740528
ENSG00000222041	CYTOR	559.188797512253	-0.544852197335559	0.122646037996521	-4.44247695429846	8.89291608811736e-06	0.00568373332588371
ENSG00000121542	SEC22A	997.137291524564	-0.297419831224112	0.0687419196675567	-4.32661515218758	1.51418177118812e-05	0.00927436334852726
ENSG00000089356	FXYD3	23752.0136321519	-0.390409591371855	0.0907471330808421	-4.30216997625764	1.69133479811125e-05	0.00949495003907396
ENSG00000174501	ANKRD36C	1977.4407967631	-0.506882835102533	0.117747948207434	-4.30481246441399	1.67127251029406e-05	0.00949495003907396
ENSG00000179933	C14orf119	2052.26822024925	-0.23492617545896	0.0546928007678526	-4.29537657901487	1.74397041534011e-05	0.00949495003907396
ENSG00000179832	MROH1	2793.43417023759	0.330690259790029	0.0773498071130544	4.27525642444967	1.90917427809334e-05	0.00978040432171596
ENSG00000204228	HSD17B8	1114.68821031677	-0.435193700089361	0.101849720479249	-4.27290028918662	1.92946751925009e-05	0.00978040432171596
ENSG00000130707	ASS1	22094.7079598309	-0.342280585852205	0.0805554284228855	-4.24900708187363	2.14720131560745e-05	0.0101818901094934
ENSG00000196776	CD47	6296.00132850329	-0.316772231012379	0.0744684366445727	-4.25377845011421	2.10193273577326e-05	0.0101818901094934
ENSG00000182831	C16orf72	2806.27915773969	0.214674980044202	0.0506251772327256	4.24047858750862	2.23043712490927e-05	0.010246070542552
ENSG00000005007	UPF1	6453.79319020504	0.219822167155887	0.0521467568352871	4.21545232142099	2.49278055025308e-05	0.0107031173590289
ENSG00000112695	COX7A2	5209.04468690664	-0.400092169765816	0.0950356092204199	-4.20991850368282	2.55462820834198e-05	0.0107031173590289
ENSG00000130545	CRB3	1629.53522513393	-0.408360339293548	0.0967529780180253	-4.22064878682566	2.43600212414858e-05	0.0107031173590289
ENSG00000178096	BOLA1	502.682919625801	-0.324553944658197	0.0771992942459105	-4.20410507412624	2.62117159812953e-05	0.0107031173590289
ENSG00000106077	ABHD11	3713.66172029938	-0.313554102734532	0.0747572181693419	-4.19429869667249	2.73717104887169e-05	0.0108747065995713
ENSG00000085274	MYNN	1475.80078600797	-0.277836025634013	0.0664315642191137	-4.18228938155988	2.88588321156075e-05	0.0109158608689567
ENSG00000131174	COX7B	3519.82502592689	-0.362290896841175	0.0866415707283571	-4.18149040692079	2.89604472033546e-05	0.0109158608689567
ENSG00000173273	TNKS	1749.71434924749	0.302983766670131	0.0726202357107871	4.17216721626704	3.01716076447177e-05	0.0110880658094337
ENSG00000181218	H2AW	945.074700618901	-0.359478559018726	0.0864432840059236	-4.15854815272974	3.20276723620831e-05	0.0114830922859176
ENSG00000167291	TBC1D16	1882.32850750894	0.437818083485738	0.105673867472477	4.14310646480094	3.42632783986998e-05	0.0119921474395449
ENSG00000118276	B4GALT6	152.750951927137	0.600418246515942	0.145339221677222	4.13115083173754	3.60951638400894e-05	0.0120590661011208
ENSG00000197798	FAM118B	1380.79582568445	-0.219255872840363	0.0530135803043795	-4.13584352502693	3.53653122714673e-05	0.0120590661011208
