ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04066	HIF-1 signaling pathway	96	0.591403419544279	2.06555662540472	1.72993449455304e-05	0.00619316549049987	0.0057178887504174	737	tags=23%, list=4%, signal=22%	7018/2321/230/5579/112399/3948/110117499/5163/2026/3939/226/5054/1536/5214/3162/2597/1950/5211/5230/816/2872/6513
hsa00010	Glycolysis / Gluconeogenesis	54	0.604197179920177	1.91768889485874	0.00205790235118756	0.238402804358859	0.220107264241934	2190	tags=39%, list=13%, signal=34%	230/3948/218/2026/3939/226/5214/2597/5211/5230/2821/7167/5236/5315/130589/5223/5213/501/55276/3099/2023
hsa00030	Pentose phosphate pathway	27	0.688045834183087	1.8583831878654	0.00211009609426884	0.238402804358859	0.220107264241934	1964	tags=44%, list=12%, signal=39%	230/226/5214/7086/5211/2821/9104/5236/5213/6888/55276/5226
hsa00051	Fructose and mannose metabolism	33	0.634053417754334	1.79006172494238	0.00466150734779892	0.238402804358859	0.220107264241934	2082	tags=39%, list=13%, signal=35%	230/441282/5210/226/57016/5214/5211/5207/7167/5209/5213/231/3099
hsa04970	Salivary secretion	71	-0.571374945401573	-1.78797333598049	0.00266617557754694	0.238402804358859	0.220107264241934	2270	tags=35%, list=14%, signal=30%	5332/108/5593/727897/5554/5554/277/1131/3709/55503/147/51806/2977/6263/492/3778/107/362/4586/111/1470/486/1469/6779/478
hsa04918	Thyroid hormone synthesis	57	-0.570076055298886	-1.7276073395658	0.00422277277419247	0.238402804358859	0.220107264241934	2363	tags=33%, list=14%, signal=29%	389434/5332/108/2876/7849/50506/468/90993/148327/4036/3709/9586/107/111/7038/5172/486/6528/478
hsa01200	Carbon metabolism	101	0.477625618285253	1.67285904418335	0.0037095675201838	0.238402804358859	0.220107264241934	2190	tags=28%, list=13%, signal=24%	230/2026/226/5214/2597/2875/1373/189/7086/5211/5230/2821/55753/9104/7167/5315/4199/3418/5223/26227/5213/6888/275/847/5226/3099/84706/2023
hsa00052	Galactose metabolism	26	0.674320148345112	1.81848582403305	0.00671516805349262	0.240403016315036	0.221953975662809	2195	tags=54%, list=13%, signal=47%	441282/57016/5214/93432/5211/5236/130589/2548/5213/7360/231/55276/3099/2584
hsa05320	Autoimmune thyroid disease	22	-0.720441394304333	-1.78578980459067	0.00621733006866921	0.240403016315036	0.221953975662809	2065	tags=65%, list=12%, signal=57%	3117/3127/3112/3113/3123/942/3108/3134/3115/3117/3122/3111/3109/3120/7038
hsa05310	Asthma	14	-0.757954371103591	-1.70610293606257	0.00594600937306492	0.240403016315036	0.221953975662809	2065	tags=80%, list=12%, signal=70%	3117/3127/3112/3113/3123/3108/3115/3117/3122/3111/3109/3120
hsa04714	Thermogenesis	214	-0.423438456248216	-1.53159739216819	0.00763865721177379	0.248603571074092	0.229525202344208	3876	tags=39%, list=23%, signal=30%	493753/4716/4728/51287/1340/4696/55744/4695/4718/125965/57104/4729/29796/5606/284184/4712/90639/4701/4722/4726/6199/4708/513/4694/522/1337/8289/4697/539/4704/4707/65260/4714/4717/51079/5468/4715/1537/10632/108/6300/28958/3265/84987/5593/4713/9551/79133/516/5600/341947/4700/126328/1347/1349/90993/27089/148327/10975/100532726/29078/91942/1375/4537/4512/4539/4540/4514/2260/9586/4509/4538/4519/107/4513/4535/4508/4536/111/4541/23305/10891/8110
hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	14	0.754675207658655	1.73623448326343	0.0103429163783228	0.308563671953295	0.284883837087135	594	tags=21%, list=4%, signal=21%	6483/9435/6487
hsa04964	Proximal tubule bicarbonate reclamation	16	-0.727071127202235	-1.70102664338378	0.0126771706646925	0.324173364139995	0.299295608173944	88	tags=19%, list=1%, signal=19%	27165/486/478
